id;altura;ano_de_construccion;balcon_terraza;banos;categoria;costos_de_mantenimiento;direccion_exacta;enviado;localizacion;m2;m2.1;m2_de_construccion;niveles;parking;piscina;piso_numero;precio;precio_m2_de_construccion;precio_m2_de_terreno;precio_m2;recamaras;tamano_del_lote;tipo_de_pisos;description;feature;land_sq_meter;title
15416032;;NA;;;Casas;NA;;29/10/2020;San Vicente;;NA;NA;1;;;;169500;974.13;974.13;;;174;;"Espectacular casa en la Guacima a 5 minutos del Automercado dentro de Residencial Caballo Real   casa casi nueva con excelentes vistas a la zona de Atenas   Puriscal y turrucares acceso controlado y caseta de seguridad  a 5 minutos de los Reyes Country Club and Golf Course 
Casa con cuarto de servicio completo  dos perreras   sistema de alarma   sistema de CCTV  tapia perimetral   sistema de reutilizacion de aguas para riego  garage para 2 carros cerrado  carro de golf y dos carros mas dentro de la propiedad despensa  cuarto de pilas  patio de tendido  dos bodegas  terraza   bar independiente  jacuzzi  sala de tele oficina que puede ser dormitorio con prevista para bano  3 dormitorios con bano completo  walking closet y balcon 
Esta casa es una joya y con un precio insuperable   el precio esta muy por debajo del mercado  cliente se traslada por trabajo "; Vista a las Montanas  Cuarto y bano de empleada  Lavanderia interna  Jardin  A C  Garaje techado  Walk in closet  Jacuzzi;NA;Casas en Guacima   Casa en Venta en La Guacima  Alajuela
15426431;;2010;;3;Casas;130000;;30/10/2020;;;NA;313;2;2;si;;NA;;;;3;;;"Hermoso Condominio Recien Remodelado de Tres Plantas en Santa Ana

El townhouse se distribuye en tres plantas de la siguiente manera 

Primera Planta  Bano de Visitas  Sala  Comedor  linda cocina contemporanea con sobres de granito  cuarto de lavanderia  cuarto de servicio con bano completo  jardin Posterior 

Segunda Planta  Amplio dormitorio Principal con mucha iluminacion  walkin closet y bano completo  dos dormitorios secundarios con closet  uno de los dormitorios esta funcionando como sala de estar  este posee previstas para cerrarse y funcionar como dormitorio  y un bano completo con sobres de marmol para compartir  bodega y closet de blancos 

Tercera Planta  Area de entretenimiento  sala de TV y bar  asi como de una linda y amplia terraza con area para BBQ 

El condominio posee acabados de primera  sistema de sonido inteligente  ventaneria estilo europeo  aire acondicionado en todos los dormitorios  tanque de agua  garage para dos vehiculos 

El complejo de condominios posee lindas areas sociales  piscina  rancho  cancha de tennis  area de playground para ninos 

Seguridad 24 7 con acceso controlado  la cuota de mantenimiento es de 130 mil colones por mes incluyendo agua  se aceptan mascotas ";Calentador de agua;NA;Casas en Santa Ana   Condominio Remodelado en Venta en Santa Ana  Paseo del Sol   193678
15430884;;2015;terraza;;;NA;Sector la Favorita;;Rohrmoser;;NA;NA;1;;no;1;285000;1,357.14;791.66;;3;360;Ceramica;;;NA;
15438005;;NA;;;Casas;NA;Santa Ana;30/10/2020;Santa Ana;;NA;592;NA;4;;;300000;958.46;1,333.33;;;225;;"Hermosa Casa Contemporanea en Condominio Exclusivo en Escazu

La casa en todas sus areas tiene acabados de lujo  pisos en marmol  porcelanato imitacion madera y pisos de cuarzo 

Cuenta con una amplia puerta de entrada hacia en vestibulo  sala con mucha luz natural y una espectacular vista a Escazu y puertas en vidrio con acceso al area de piscina  comedor y cocina moderna con despensa  plantilla empotrada con extractor estilo campana y una gran isla que funciona como barra desayunador  espacio para refrigerador doble puerta grande 

Un estudio  bano de visitas  cuarto de pilas y salida a la cochera independiente que comunica hasta la cocina 

Hermosa piscina espectacular que se conecta con dos terrazas a cada uno de los lados  una de ellas con zona de BBQ 

La casa cuenta con dos habitaciones principales   una de ellas con walk in closet y balcon con espectacular vista y un bano completo con Jacuzzi romano  la otra habitacion principal con walk in closet y su bano completo con tina aerea y ducha  

Tiene dos habitaciones secundarias con walk in closet y cada una con su bano completo independiente  

Sala de TV  bano de visitas 

La casa cuenta con un semisotano en el que se ubica el cuarto de servicio con bano completo  cuarto de maquinas de piscina  vestidor  bano de piscina y bodega general 

Rampa de acceso y terraza en niveles que da a una bonita zona verde 

Se ubica en uno de los condominios mas exclusivos de Escazu 

La casa disfruta de todos los beneficios del residencial en condominio  incluida la seguridad de excelente nivel 24 7  dentro de sus amenidades incluye un gimnasio completo  dos casas club  area de juegos  cancha de futbol y tres piscinas  Su ubicacion centrica  cerca de Escazu y Santa Ana  proporciona un acceso facil y rapido a exquisitos restaurantes  las escuelas mejor clasificadas del pais y centros comerciales 

Se pagan 234 000 colones de cuota de mantenimiento  se permiten mascotas ";Calentador de agua;NA;Casas en Escazu   Financiamiento Disponible  Casa Contemporanea en Escazu  Guachipelin   196053
15443452;2.70;NA;;2.5;;NA;San Jose  Desamparados  San Rafael Arriba  Bla Guaria del Restaurante Castillode Picolo   300 NO;;;;NA;339;1;3;;;NA;;₡198,107;;4;451.34;;"Provincia  SAN JOSE 
Canton  DESAMPARADOS 
Distrito  SAN RAFAEL ARRIBA 
Direccion exacta  Barrio la Guaria  del Restaurante Castillo de Picolo   300 Noroeste 
Folio Real  1 179023 000
Numero de plano  SJ 0978047 1991
Precio real  89 414 000 00
Precio en oferta  89 414 000 00
Descuento  0 
Area del terreno  451 34 m2
Area de construccion  339 m2
Distribucion  Sala  comedor  cocina  4 dormitorios  2 5 banos  area de pilas  cochera  oficina  corredor  terraza 
Observaciones  Puede realizar su oferta  formulario descargable  y enviarla al correo  Con gusto lo atenderemos  El  la  FUTURO  A  COMPRADOR  A  debe manifestar que conoce y acepta que la propiedad forma parte de un barrio consolidado  conformado por viviendas unifamiliares de una y dos plantas  Acceso a todos los servicios basicos y sociales complementarios  En la propiedad existe vivienda a la que se le han realizado a lo largo de su vida reformas y ampliaciones  Se observaron varios danos en pintura por filtracion de humedad  uno de los vidrios de puerta ventana roto  algunas paredes de gypsum danadas  En general se requieren de reparaciones de nivel intermedio  En apariencia la propiedad no se ve expuesta a riesgo de inundacion o deslizamiento  Se aplico factor de Demerito por acceso nulo o limitado de ventilacion e iluminacion natural en la mayoria de los aposentos y por aspectos de funcionalidad ";Cerca de Escuela  Pet Friendly  Cerca del Trafico;NA;Casas en Desamparados   Grupo Mutual vende vivienda en Desamparados 
15525416;2;2016;terraza;3.5;Casas;80000;Condominio Francosta;29/10/2020;Ulloa;;NA;450;2;8 4;no;;355000;1,099.07;1,183.33;;4 3;300;Porcelanato;"Una excelente oportunidad para construir su vivienda atras y en frente establecer su negocio  oficina  clinica  restaurante o bien una torre de hasta siete pisos  

El lote mide 1 300 M2
Ubicado estrategicamente sobre carretera principal frente al Crossxfit Gym  garantizando exposicion optima en una zona de gran crecimiento 

Terreno totalmente plano con 25 metros de frente 

Actualmente posee una casa de 450 metros cuadrados en una sola planta 

Consta de 

4 dormitorios
3 5 banos 
Oficina
Sala de TV
Dos terrazas que dan al jardin que rodea toda la casa 
Cielo raso artesonado en areas sociales con madera Guanacaste

Precio de Oferta 750 000 negociable segun terminos de pago 

AA CV085 CRI 300m2 de Lote y 323m2 de construccion 
Cuenta con un avaluo por 419 802 pero el precio de venta es de tan solo 355 000
La casa cuenta con un calido diseno con espacios amplios y abiertos 
En la primera planta se encuentra la sala  medio bano  una amplia cocina y comedor  cuarto de servicio con bano propio  cuarto de pilas alacena y una terraza con vista la puesta del sol 
La segunda planta se compone por una enorme sala de television son cielos altos tipo catedral y un espacioso closet de blancos 
El dormitorio principal es enorme  tambien con cielos estilo catedral  tiene aire acondicionado  su propio bano y walk in closet 
Las dos habitaciones secundarias son de un excelente tamano y comparten un espacioso bano  
En una de las habitaciones se encuentra el acceso a un amplio atico muy util para guardar todo tipo de objetos de uso poco frecuente 
En la segunda planta tambien hay un espacioso closet de blancos 
La cochera es perfecta para dos carros bajo techo y dos mas en la rampa de acceso 
La casa se encuentra en una ubicacion centrica en el condominio y en una calle de poco flujo vehicular 

El condominio cuenta con seguridad 24 7  electrificacion subterranea  multiples zonas recreativas  juegos infantiles  gimnasio  casa club con amplio salon para actividades  capacidad de hasta 120 personas   senderos  parque para perros  lago  zona de gimnasio al aire libre  canchas de tenis  basquet  y futbol 5  amplio rancho de reuniones y BBQ 
Excelente ubicacion  A 5 minutos de la autopista General Canas y a 15 minutos del aeropuerto Juan Santamaria  Cerca de las principales zonas francas  hospitales  colegios  centros comerciales y supermercados ";Lavaplatos  Dispensador de agua caliente;NA;Casas en Curridabat   GUAYABOS GRAN UBICACION   USO MIXTO CASA LOTE 1300 m2 Casas en Ulloa   Hermosa y amplia casa ubicada en Condominio Francosta a precio de oportunidad 
15644862;;NA;balcon;1;;NA;;;;;NA;100;NA;1;no;;108000;1,080.00;31.76;;2;3400;;"Casa a estrenar de 2 habitaciones y 1 bano en Tinamastes con bonitas vistas a la montana  La casa tiene un hermoso balcon al aire libre que le brinda unas vistas realmente agradables y una brisa constante  Hay hermosos jardines plantados  La propiedad tiene un monton de tierra extra utilizable donde puede agregar un Gazebo o una piscina para esas maravillosas barbacoas  Tambien hay una lavanderia debajo de la casa que es lo suficientemente grande como para usar como bodega 

La entrada cuenta con piedra cuarta donde puede estacionar dos autos y espacio para mas si es necesario  Esta ubicado en una comunidad tranquila  Hay supermercados cerca  asi como escuelas  clinicas publicas  restaurantes e incluso una iglesia 

Se encuentra a solo 15 minutos de la playa Dominical y a 25 minutos de San Isidro ";Lavanderia interna;NA;Casas en Platanillo   Casa nueva a la venta en Tinamaste 
15694810;;NA;;;Casas;NA;;2/11/2020;Carrizal;;NA;NA;2;;;;235000;593.43;109.76;;;2141;;"Esta bella casa de dos plantas esta rebajada de 280 000 a 239 000 

Se ubica en un pequeno condominio de casas independientes  en la exclusiva zona de Pinares  con una unica entrada y seguridad 24 7 

La casa tiene iluminacion y ventilacion natural y bellos acabados  

Esta distribuida de la siguiente manera 

  Primera planta  vestibulo  amplia sala comedor  cocina independiente con muebles en madera  cuarto de pilas  terraza y jardin  bodega  cuarto de servicio y bano para visitas 

  Segunda planta  dormitorio principal con dos walk in closets  bano y balcon  dos dormitorios amplios compartiendo un bano  espacio grande entre los dormitorios para sala de TV u oficina  Los pisos son en madera  asi como los closets y los muebles de los banos 

La casa cuenta con parqueo para dos carros y puede parquearse uno adicional  

El condominio cuenta con parqueo para visitas  buena ubicacion cerca de zonas comerciales  centros educativos y todo tipo de servicios 

La casa tambien se alquila por 1 500 mensuales 

Informacion y citas al 8885 9033 "; Lavanderia interna  Jardin  Parque Infantil  A C  Patio  Garaje techado  Sala y Comedor  Area Social  Walk in closet;NA;Casas en Sanchez   Casa de dos plantas en Condominio  Pinares  Curridabat
15708189;;2020;;2.5;Casas;NA;Curridabat;17/10/2020;Curridabat;;NA;225;3;3;si;;280000;1,244.44;;;3;;Porcelanato;;Dispensador de agua caliente  Calentador de agua;NA;
15732594;2.50;NA;terraza;2;;NA;Cartago  El Guarco  Tejar  Urb El Cacique del Quijongo  500 Este y 300 Sur  CASA D 8 y Lote D 37 ;;;;NA;118.18;1;5;;;NA;;;;3;300;;;Cerca de Escuela  Pet Friendly  Cerca del Trafico  Parking bajo techo;NA;
